Transaction_ID,Customer_ID,Amount,Payment_Method,Bank_Name,Response_Code,Response_Message,Retry_Count,Transaction_Time,Retry_Time,Final_Status,Failure_Type,Revenue_Lost
TXN100000,C8270,5945.0,Credit Card,BOB,68.0,Card Declined,4.0,2026-03-09 23:18,2026-03-09 23:27,Success,No Failure,0
TXN100001,C1860,64815.0,Credit Card,IndusInd,55.0,Invalid Amount,1.0,2026-07-21 02:07,2026-07-21 02:37,Success,No Failure,0
TXN100002,C6390,5712.0,Net Banking,Canara,8.0,Card Declined,2.0,2026-04-13 09:19,2026-04-13 09:30,Pending,Permanent,0
TXN100003,C6191,56738.0,Net Banking,HDFC,51.0,Expired Card,2.0,2026-12-16 06:24,2026-12-16 06:26,Success,No Failure,0
TXN100004,C6734,78222.0,Credit Card,Axis,12.0,Approved,3.0,2026-09-27 09:13,2026-09-27 09:59,Success,No Failure,0
TXN100005,C7265,4895.0,Debit Card,ICICI,55.0,Card Declined,1.0,2026-06-10 08:55,2026-06-10 09:11,Success,No Failure,0
TXN100006,C1466,88187.0,Credit Card,ICICI,54.0,Network Error,2.0,2026-10-02 05:20,2026-10-02 05:45,Success,No Failure,0
TXN100007,C5426,7970.0,Credit Card,Axis,12.0,System Error,4.0,2026-11-06 18:46,2026-11-06 18:54,Success,No Failure,0
TXN100008,C6578,63697.0,Debit Card,Axis,55.0,Approved,4.0,2026-11-12 02:52,2026-11-12 02:59,Success,No Failure,0
TXN100009,C9322,72096.0,Net Banking,ICICI,8.0,Expired Card,4.0,2026-03-09 14:50,2026-03-09 14:53,Success,No Failure,0
TXN100010,C2685,4800.0,Debit Card,BOB,96.0,Card Declined,3.0,2026-07-21 16:23,2026-07-21 16:54,Success,No Failure,0
TXN100011,C1769,5987.0,Wallet,IndusInd,12.0,Expired Card,2.0,2026-03-24 19:32,2026-03-24 19:45,Success,No Failure,0
TXN100012,C7949,96298.0,Credit Card,BOB,8.0,Response Timeout,1.0,2026-05-14 10:53,2026-05-14 11:23,Success,No Failure,0
TXN100013,C3433,77316.0,Credit Card,Axis,54.0,Insufficient Funds,3.0,2026-02-09 16:51,2026-02-09 17:18,Success,No Failure,0
TXN100014,C6311,10415.0,UPI,BOB,55.0,Card Declined,0.0,2026-05-03 03:47,,Success,No Failure,0
TXN100015,C6051,11047.0,Debit Card,PNB,0.0,Response Timeout,2.0,2026-05-27 03:00,2026-05-27 03:19,Success,No Failure,0
TXN100016,C7420,2959.0,Net Banking,Yes Bank,51.0,Insufficient Funds,3.0,2026-10-26 12:24,2026-10-26 12:53,Success,No Failure,0
TXN100017,C2184,51370.0,Net Banking,BOB,54.0,Invalid Amount,3.0,2026-11-28 07:23,2026-11-28 07:35,Success,No Failure,0
TXN100018,C5555,50960.0,Credit Card,PNB,96.0,Approved,4.0,2026-10-03 14:19,2026-10-03 15:02,Success,No Failure,0
TXN100019,C4385,38747.0,UPI,HDFC,96.0,Expired Card,4.0,2026-11-17 23:41,2026-11-18 00:19,Success,No Failure,0
