Transaction_ID,Customer_ID,Amount,Payment_Method,Bank_Name,Response_Code,Response_Message,Retry_Count,Transaction_Time,Retry_Time,Final_Status,Failure_Type,Revenue_Lost,Day_of_Week,Hour,Month,Week_Number,Year,Retry_Delay_Minutes,Days_Since_Transaction
TXN100000,C8270,5945.0,credit card,bob,68.0,card declined,4.0,2026-03-09 23:18:00,2026-03-09 23:27:00,success,permanent,0,Monday,23,March,11,2026,9.0,146
TXN100001,C1860,64815.0,credit card,indusind,55.0,invalid amount,1.0,2026-07-21 02:07:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,2,July,30,2026,-282629.0,13
TXN100002,C6390,5712.0,net banking,canara,8.0,card declined,2.0,2026-04-13 09:19:00,2026-04-13 09:30:00,pending,permanent,0,Monday,9,April,16,2026,11.0,112
TXN100003,C6191,56738.0,net banking,hdfc,51.0,expired card,2.0,2026-12-16 06:24:00,2026-12-16 06:26:00,success,permanent,0,Wednesday,6,December,51,2026,2.0,-135
TXN100004,C6734,78222.0,credit card,axis,12.0,approved,3.0,2026-09-27 09:13:00,2026-09-27 09:59:00,success,permanent,0,Sunday,9,September,39,2026,46.0,-55
TXN100005,C7265,4895.0,debit card,icici,55.0,card declined,1.0,2026-06-10 08:55:00,2026-06-10 09:11:00,success,permanent,0,Wednesday,8,June,24,2026,16.0,54
TXN100006,C1466,88187.0,credit card,icici,54.0,network error,2.0,2026-10-02 05:20:00,2026-10-02 05:45:00,success,permanent,0,Friday,5,October,40,2026,25.0,-60
TXN100007,C5426,7970.0,credit card,axis,12.0,system error,4.0,2026-11-06 18:46:00,2026-11-06 18:54:00,success,permanent,0,Friday,18,November,45,2026,8.0,-96
TXN100008,C6578,63697.0,debit card,axis,55.0,approved,4.0,2026-11-12 02:52:00,2026-11-12 02:59:00,success,permanent,0,Thursday,2,November,46,2026,7.0,-101
TXN100009,C9322,72096.0,net banking,icici,8.0,expired card,4.0,2026-03-09 14:50:00,2026-03-09 14:53:00,success,permanent,0,Monday,14,March,11,2026,3.0,146
TXN100010,C2685,4800.0,debit card,bob,96.0,card declined,3.0,2026-07-21 16:23:00,2026-07-21 16:54:00,success,permanent,0,Tuesday,16,July,30,2026,31.0,12
